Rank,Name,Year,Aired On,No of Episode,Network,Duration(minute),Content Rating,Cast,Genre,Rating
#51,Dr. Romantic Season 2,2020," Monday, Tuesday",16,SBS,118,15+ - Teens 15 or older,"Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon",Medical,8.7
#52,The Penthouse,2020," Monday, Tuesday",21,SBS,119,15+ - Teens 15 or older,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung",Drama,8.7
#53,Dear My Friends,2016," Friday, Saturday",16,tvN,120,15+ - Teens 15 or older,"Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung",Life,8.7
#54,Hometown Cha-Cha-Cha,2021," Saturday, Sunday",16,Netflix,121,15+ - Teens 15 or older,"Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Lee Bong Ryun, Jo Han Chul",Life,8.7
#55,Arthdal Chronicles Part 3,2019," Saturday, Sunday",6,Netflix,122,15+ - Teens 15 or older,"Song Joong Ki, Jang Dong Gun, Kim Ji Won, Kim Ok Bin, Kim Sung Cheol, Kim Eui Sung",Historical,8.7
#56,Arthdal Chronicles Part 2,2019," Saturday, Sunday",6,Netflix,123,15+ - Teens 15 or older,"Song Joong Ki, Jang Dong Gun, Kim Ji Won, Kim Ok Bin, Kim Eui Sung, Park Hae Joon",Historical,8.7
#57,The Guest,2018," Wednesday, Thursday",16,OCN,124,18+ Restricted (violence & profanity),"Kim Dong Wook, Kim Jae Wook, Jung Eun Chae, Lee Won Jong, Park Ho San, Ahn Nae Sang",Thriller,8.7
#58,Defendant,2017," Monday, Tuesday",18,SBS,125,15+ - Teens 15 or older,"Ji Sung, Uhm Ki Joon, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Jung Dong Gyu",Thriller,8.7
#59,While You Were Sleeping,2017," Wednesday, Thursday",32,SBS,126,15+ - Teens 15 or older,"Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha",Fantasy,8.7
#60,The Penthouse Season 2,2021," Friday, Saturday",13,SBS,127,15+ - Teens 15 or older,"Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung",Drama,8.7
